Contact ID,Contact Name,GHL Contact ID,CSV Amount,CSV Date,CSV Source,Correct Donation ID,Correct Donation Date,Correct Donation Campaign,Orphan Donation ID,Orphan Date,Orphan Campaign,Orphan Campaign ID,Action
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-24,General Donation form With Recurring Donations and Manual Donations,135491,2025-12-24,254,135966,2025-12-15,General Donation form With Recurring Donations,941,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-24,General Donation form With Recurring Donations and Manual Donations,135491,2025-12-24,254,135978,2025-12-01,New Invoice,946,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-24,General Donation form With Recurring Donations and Manual Donations,135491,2025-12-24,254,135981,2025-11-28,General Donation form With Recurring Donations and Manual Donations,942,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-24,General Donation form With Recurring Donations and Manual Donations,135491,2025-12-24,254,135995,2025-11-22,General Donation form With Recurring Donations and Manual Donations,942,Delete
52562,Unknown,caayNzHyAtv1INYh1teW,26.00,2025-12-24,Manual Payment,135490,2025-12-24,165,136135,2025-10-09,Manual Payment,944,Delete
52562,Unknown,caayNzHyAtv1INYh1teW,26.00,2025-12-24,Manual Payment,135490,2025-12-24,165,136460,2025-04-01,Manual Payment,944,Delete
23336,Mrs. Roslyn Blatt,0l8Xx53uxkWc4XvVImyj,10.00,2025-12-24,Manual Payment,135489,2025-12-24,None,134576,2025-04-10,None,,Delete
52561,Jonathan Ely,YgtMcuEWu2snFWO2aOa5,18.00,2025-12-24,General Donation form With Recurring Donations and Manual Donations,135487,2025-12-24,254,135979,2025-12-01,New Invoice,946,Delete
52561,Jonathan Ely,YgtMcuEWu2snFWO2aOa5,18.00,2025-12-24,General Donation form With Recurring Donations and Manual Donations,135487,2025-12-24,254,136353,2025-04-16,Thanksgiving,949,Delete
52556,Unknown,P9esadnBlYspgW1gmO4g,36.00,2025-12-23,General Donation form With Recurring Donations and Manual Donations,135482,2025-12-23,254,136183,2025-10-01,RH25 Donation Form - Other Amount,940,Delete
52549,Unknown,h7yVAlzNbwpFJDP313aL,360.00,2025-12-22,Chanuka-CH25,135466,2025-12-22,855,135976,2025-12-02,Giving Tuesday,858,Delete
52549,Unknown,h7yVAlzNbwpFJDP313aL,360.00,2025-12-22,Chanuka-CH25,135466,2025-12-22,855,136456,2025-04-08,Passover Form,967,Delete
52441,Unknown,gXO2MaynN9oOrG3l8Gwh,36.00,2025-12-21,General Donation form With Recurring Donations,135221,2025-12-21,None,136458,2025-04-01,Passover Form,967,Transfer campaign then delete
52429,Unknown,G13Zi1gEj4mYuhw46hk2,2.00,2025-12-18,General Donation form With Recurring Donations,132592,2025-12-18,229,134907,2025-02-13,None,,Delete
52429,Unknown,G13Zi1gEj4mYuhw46hk2,2.00,2025-12-18,General Donation form With Recurring Donations,132592,2025-12-18,229,134907,2025-02-13,None,,Delete
52429,Unknown,G13Zi1gEj4mYuhw46hk2,2.00,2025-12-18,General Donation form With Recurring Donations,132592,2025-12-18,229,134907,2025-02-13,None,,Delete
52427,David BECHHOFER,FUyYDzuapRT9mf7iyMhs,36.00,2025-12-17,General Donation form With Recurring Donations and Manual Donations,132614,2025-12-17,None,133491,2025-09-28,None,,Delete
26532,Stephen Brandt,D2sJk0QXJo819gH7ELn7,18.00,2025-12-16,General Donation form With Recurring Donations and Manual Donations,132618,2025-12-16,None,134780,2025-03-19,None,,Delete
26532,Stephen Brandt,D2sJk0QXJo819gH7ELn7,18.00,2025-12-16,General Donation form With Recurring Donations and Manual Donations,132618,2025-12-16,None,134896,2025-02-18,None,,Delete
52563,Unknown,5KVQgGDzEGdQ3jso6sUa,10.00,2025-12-15,General Donation form With Recurring Donations,135966,2025-12-15,941,135978,2025-12-01,New Invoice,946,Delete
