Contact ID,Amount,Received Date,Payment Date,Payment Method,Status,Created At,Donation ID,Action,Duplicate Group
15990,5000.00,2025-07-25,2025-07-25,Credit Card,completed,2025-11-11T11:25:21.528Z,3448,KEEP,15990-5000.00-2025-07-24 to 2025-07-25
15990,5000.00,2025-07-24,2025-07-24,Cash,completed,2025-11-05T09:12:25.796Z,21,REMOVE,15990-5000.00-2025-07-24 to 2025-07-25
17278,250.00,2025-08-07,2025-08-07,Other,completed,2025-11-05T09:13:56.873Z,29,KEEP,17278-250.00-2025-08-06 to 2025-08-07
17278,250.00,2025-08-06,2025-08-06,Cash,failed,2025-11-05T09:13:48.070Z,28,REMOVE,17278-250.00-2025-08-06 to 2025-08-07
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-17T07:24:18.872Z,107543,KEEP,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-17T03:24:19.114Z,107462,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-16T23:24:19.111Z,107381,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-16T19:24:19.573Z,107300,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-16T15:24:19.451Z,107219,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-16T11:24:18.678Z,107138,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-16T07:24:18.727Z,107057,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-16T03:24:19.181Z,106976,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-15T23:24:19.537Z,106895,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-15T19:24:18.897Z,106814,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-15T15:24:18.905Z,106733,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-15T11:24:19.221Z,106652,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-15T07:24:18.990Z,106571,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-15T03:24:19.476Z,106490,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-14T23:24:19.570Z,106409,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-14T19:24:19.184Z,106328,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-14T15:24:19.481Z,106247,REMOVE,16012-180.00-2025-11-11
16012,180.00,2025-11-11,2025-11-11,Cash,completed,2025-11-14T11:59:29.891Z,106172,REMOVE,16012-180.00-2025-11-11
16347,833.33,2025-08-05,2025-08-05,Cash,completed,2025-11-05T09:21:40.159Z,63,KEEP,16347-833.33-2025-08-05 to 2025-08-06
16347,833.33,2025-08-06,2025-08-06,Cash,completed,2025-11-05T09:21:13.593Z,60,REMOVE,16347-833.33-2025-08-05 to 2025-08-06
16347,250.00,2025-08-05,2025-08-05,Cash,completed,2025-11-05T09:21:31.459Z,62,KEEP,16347-250.00-2025-08-05 to 2025-08-06
16347,250.00,2025-08-06,2025-08-06,Cash,completed,2025-11-05T09:21:03.863Z,59,REMOVE,16347-250.00-2025-08-05 to 2025-08-06
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-17T07:24:22.229Z,107552,KEEP,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-17T03:24:22.513Z,107471,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-16T23:24:22.551Z,107390,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-16T19:24:22.996Z,107309,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-16T15:24:22.892Z,107228,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-16T11:24:22.147Z,107147,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-16T07:24:22.199Z,107066,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-16T03:24:22.454Z,106985,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-15T23:24:22.933Z,106904,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-15T19:24:22.264Z,106823,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-15T15:24:22.303Z,106742,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-15T11:24:22.626Z,106661,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-15T07:24:22.440Z,106580,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-15T03:24:22.954Z,106499,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-14T23:24:22.915Z,106418,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-14T19:24:22.633Z,106337,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-14T15:24:22.816Z,106256,REMOVE,15902-50.00-2025-11-12
15902,50.00,2025-11-12,2025-11-12,Cash,completed,2025-11-14T11:59:33.414Z,106181,REMOVE,15902-50.00-2025-11-12
15713,40.00,2025-08-02,2025-08-02,Cash,completed,2025-11-05T09:29:11.700Z,110,KEEP,15713-40.00-2025-08-02 to 2025-08-03
15713,40.00,2025-08-03,2025-08-03,Cash,completed,2025-11-05T09:28:54.204Z,108,REMOVE,15713-40.00-2025-08-02 to 2025-08-03
17019,100.00,2025-07-22,2025-07-22,Credit Card,completed,2025-11-11T11:25:28.922Z,7419,KEEP,17019-100.00-2025-07-21 to 2025-07-22
17019,100.00,2025-07-21,2025-07-21,Cash,completed,2025-11-05T09:31:06.669Z,124,REMOVE,17019-100.00-2025-07-21 to 2025-07-22
16849,50.00,2025-08-13,2025-08-13,Cash,failed,2025-11-05T09:39:08.335Z,192,KEEP,16849-50.00-2025-08-13
16849,50.00,2025-08-13,2025-08-13,Cash,failed,2025-11-05T09:39:01.135Z,191,REMOVE,16849-50.00-2025-08-13
21101,50.00,2025-11-13,2025-11-13,Cash,completed,2025-11-17T07:24:31.952Z,107577,KEEP,21101-50.00-2025-11-13
21101,50.00,2025-11-13,2025-11-13,Cash,completed,2025-11-17T03:24:32.210Z,107496,REMOVE,21101-50.00-2025-11-13
21101,50.00,2025-11-13,2025-11-13,Cash,completed,2025-11-16T23:24:32.233Z,107415,REMOVE,21101-50.00-2025-11-13
21101,50.00,2025-11-13,2025-11-13,Cash,completed,2025-11-16T19:24:32.967Z,107334,REMOVE,21101-50.00-2025-11-13
21101,50.00,2025-11-13,2025-11-13,Cash,completed,2025-11-16T15:24:32.917Z,107253,REMOVE,21101-50.00-2025-11-13
