constituent_id,amount,date_added,campaign_id,fund_id,payment_method,category
3404,2843,2006-03-06T14:42:56.387-05:00,5,1,Cash,GiftInKind
3404,3768.33,2006-03-16T11:37:26.807-05:00,5,1,Cash,GiftInKind
3765,100,2006-05-15T13:49:22.843-04:00,5,12,Cash,Donation
11833,300,2006-06-13T11:01:27.437-04:00,5,1,Cash,Donation
119,500,2006-06-13T11:11:30.25-04:00,5,12,Cash,Donation
3358,100,2006-06-13T11:17:55.857-04:00,5,14,Cash,Donation
3404,3768.33,2006-06-21T11:02:45.457-04:00,5,1,Cash,GiftInKind
3404,3768.34,2006-07-18T16:12:50.187-04:00,5,1,Cash,GiftInKind
271,50,2006-07-19T09:34:44.153-04:00,5,7,Cash,Donation
53,50,2006-07-19T15:34:31.22-04:00,5,7,Cash,Donation
1237,250,2006-07-19T16:20:02.47-04:00,,61,Cash,Donation
1213,125,2006-07-19T16:24:37.38-04:00,,61,Cash,Donation
3404,100,2006-07-19T17:43:07.44-04:00,6,18,Cash,Donation
3416,25,2006-07-20T15:54:55.767-04:00,5,12,Cash,Donation
5699,200,2006-07-20T16:52:10.61-04:00,5,35,Cash,Donation
3404,2812.33,2006-10-19T09:14:58.043-04:00,5,1,Cash,GiftInKind
53,25,2006-11-29T10:14:06-05:00,5,16,Cash,Donation
149,150,2007-01-02T16:17:07.43-05:00,5,1,Cash,Donation
7889,50,2007-01-03T12:09:42.26-05:00,5,16,Cash,Donation
3416,25,2007-05-15T11:12:19.873-04:00,5,7,Cash,Donation
3404,1000,2007-05-15T11:30:40.547-04:00,5,16,Cash,Donation
53,25,2007-06-19T12:00:43.793-04:00,5,12,Cash,Donation
271,25,2007-07-11T13:25:51.733-04:00,5,7,Cash,Donation
119,500,2007-07-11T13:38:15.983-04:00,5,7,Cash,Donation
3416,50,2007-07-17T10:20:07.663-04:00,5,12,Cash,Donation
2368,500,2007-07-17T10:44:51.697-04:00,5,35,Cash,Donation
5699,200,2007-07-17T11:19:14.883-04:00,5,35,Cash,Donation
7889,50,2007-08-03T10:21:07.14-04:00,5,16,Cash,Donation
1237,1000,2007-10-24T12:38:04.217-04:00,6,53,PersonalCheck,PledgePayment
1237,80,2007-11-08T15:06:31.25-05:00,,60,PersonalCheck,Donation
3404,80,2007-12-05T13:21:29.81-05:00,,60,PersonalCheck,Donation
3404,1000,2008-01-07T16:46:19.923-05:00,5,1,Cash,Donation
3404,1000,2008-03-10T11:56:36.717-04:00,5,16,Cash,Donation
3416,25,2008-05-19T12:54:35.263-04:00,5,12,Cash,Donation
119,500,2008-05-19T13:06:36.077-04:00,5,12,Cash,Donation
53,25,2008-06-03T11:50:17.24-04:00,5,12,Cash,Donation
3404,150,2008-06-03T12:08:34.46-04:00,5,12,Cash,Donation
1237,200,2008-11-20T11:44:19.187-05:00,6,24,Cash,PledgePayment
1237,80,2008-11-25T16:31:54.217-05:00,,60,Cash,Donation
3404,1000,2009-01-07T13:58:55.827-05:00,5,1,Cash,Donation
3404,1000,2009-04-30T16:49:11.807-04:00,5,16,Cash,Donation
3733,50,2009-05-15T16:02:15.98-04:00,5,12,Cash,Donation
119,500,2009-06-01T15:38:56.4-04:00,5,12,Cash,Donation
11833,80,2009-11-16T12:41:34.03-05:00,,60,Cash,Donation
3404,1000,2009-12-11T17:34:23.353-05:00,,60,Cash,Donation
261,50,2009-12-28T11:50:47.76-05:00,5,1,Cash,Donation
271,25,2009-12-28T12:01:34.707-05:00,5,1,Cash,Donation
3404,1000,2009-12-28T13:06:05.11-05:00,5,1,Cash,Donation
11833,290,2010-03-03T14:10:54.973-05:00,,69,Cash,Donation
119,500,2010-05-13T08:45:28.347-04:00,5,12,Cash,Donation
11833,250,2010-05-14T16:41:05.377-04:00,,69,Cash,Donation
3416,25,2010-06-08T16:45:46.583-04:00,5,12,Cash,Donation
119,41.67,2010-08-10T11:21:18.983-04:00,5,1,CreditCard,RecurringGift
119,41.67,2010-08-12T12:04:12.23-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2010-09-08T10:15:49.03-04:00,5,7,CreditCard,RecurringGift
119,41.67,2010-09-13T15:12:54.02-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2010-09-13T15:23:19.547-04:00,5,7,CreditCard,RecurringGiftPayment
3404,1000,2010-09-15T14:12:05.563-04:00,5,1,Cash,Donation
119,41.67,2010-10-13T13:38:26.14-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2010-10-13T13:38:28.9-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2010-11-11T10:01:44.207-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2010-11-11T10:01:47.357-05:00,5,7,CreditCard,RecurringGiftPayment
11833,100,2010-12-02T09:19:35.453-05:00,,60,Cash,Donation
119,41.67,2010-12-13T14:20:07.91-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2010-12-13T14:20:10.42-05:00,5,7,CreditCard,RecurringGiftPayment
3404,500,2010-12-14T11:46:23.6-05:00,5,1,Cash,Donation
271,25,2010-12-14T11:47:59.957-05:00,5,1,Cash,Donation
14783,200,2010-12-27T11:18:18.75-05:00,5,1,Cash,Donation
119,41.67,2011-01-11T11:45:28.7-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-01-11T11:45:29.277-05:00,5,7,CreditCard,RecurringGiftPayment
9554,25,2011-01-21T16:32:08.12-05:00,5,7,Cash,Donation
119,40,2011-02-01T15:28:32.277-05:00,,85,Cash,Donation
119,41.67,2011-02-11T10:39:50.313-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-02-11T10:39:52.723-05:00,5,7,CreditCard,RecurringGiftPayment
3404,1000,2011-02-17T18:49:25.73-05:00,,78,Cash,Donation
119,41.67,2011-03-16T10:55:07.113-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-03-16T10:55:07.453-04:00,5,7,CreditCard,RecurringGiftPayment
1237,200,2011-03-29T15:09:52.683-04:00,,78,Cash,Donation
119,41.67,2011-04-11T13:45:46.01-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-04-11T13:45:47.077-04:00,5,7,CreditCard,RecurringGiftPayment
1237,250,2011-05-06T15:53:26.607-04:00,5,7,Cash,Donation
119,41.67,2011-05-11T12:59:06.847-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-05-11T12:59:07.537-04:00,5,7,CreditCard,RecurringGiftPayment
3416,25,2011-05-11T13:00:02.07-04:00,5,12,Cash,Donation
119,500,2011-05-16T14:34:07.487-04:00,5,12,Cash,Donation
6263,25,2011-05-23T16:00:48.703-04:00,5,12,Cash,Donation
11833,125,2011-05-26T11:35:55.853-04:00,5,14,Cash,Donation
119,41.67,2011-06-13T13:21:33.557-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-06-13T13:21:34.35-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2011-07-11T09:51:07.497-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-07-11T09:51:08.29-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2011-08-15T08:48:59.94-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-08-15T08:49:00.537-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2011-09-13T11:00:28.27-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-09-13T11:00:30.17-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2011-10-11T14:16:01.11-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-10-11T14:16:02.193-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2011-11-11T08:53:09.683-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-11-11T08:53:10.41-05:00,5,7,CreditCard,RecurringGiftPayment
6263,20,2011-11-14T10:07:31.757-05:00,5,1,Cash,Donation
271,25,2011-11-14T10:23:16.957-05:00,5,1,Cash,Donation
119,41.67,2011-12-12T16:11:18.277-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2011-12-12T16:11:18.81-05:00,5,7,CreditCard,RecurringGiftPayment
261,50,2012-01-05T10:45:58.403-05:00,5,7,Cash,Donation
119,41.67,2012-01-11T08:53:22.857-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-01-11T08:53:23.92-05:00,5,7,CreditCard,RecurringGiftPayment
3404,1000,2012-02-03T08:09:48.75-05:00,,78,Cash,Donation
2368,40,2012-02-03T08:12:20.42-05:00,,78,Cash,Donation
119,41.67,2012-02-13T12:27:41.73-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-02-13T12:27:42.813-05:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2012-03-12T09:57:56.07-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-03-12T09:57:57.77-04:00,5,7,CreditCard,RecurringGiftPayment
15539,180,2012-03-28T08:44:55.633-04:00,,88,CreditCard,RecurringGift
15539,205,2012-04-02T07:40:04.197-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-04-11T15:05:25.577-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-04-11T15:05:26.01-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2012-05-09T15:47:58.053-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-05-11T13:06:33.64-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-05-11T13:06:34.513-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2012-06-05T10:04:02.683-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-06-12T12:32:40.113-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-06-12T12:32:41.053-04:00,5,7,CreditCard,RecurringGiftPayment
6263,75,2012-06-15T16:02:06.983-04:00,5,12,Cash,Donation
10969,37.5,2012-06-15T16:05:37.317-04:00,5,12,Cash,Donation
3733,100,2012-06-15T16:08:17.76-04:00,5,12,Cash,Donation
119,500,2012-06-15T16:09:22.363-04:00,5,12,Cash,Donation
1237,200,2012-06-15T16:34:22.057-04:00,5,7,Cash,Donation
3404,250,2012-06-15T16:36:07.067-04:00,5,7,Cash,Donation
3795,150,2012-06-29T15:22:22.177-04:00,5,12,Cash,Donation
15539,175,2012-07-04T09:19:12.68-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-07-12T12:25:35.16-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-07-12T12:25:35.517-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2012-08-02T10:23:50.977-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-08-13T09:06:25.64-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-08-13T09:06:26.983-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2012-09-06T17:03:52.92-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-09-11T14:09:37.107-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-09-11T14:09:38.57-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2012-10-03T15:51:38.347-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-10-11T13:24:07.71-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-10-11T13:24:08.66-04:00,5,7,CreditCard,RecurringGiftPayment
15539,40,2012-11-02T08:43:59.15-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-11-12T12:10:18.56-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-11-12T12:10:19.063-05:00,5,7,CreditCard,RecurringGiftPayment
15539,40,2012-12-03T16:31:29.767-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2012-12-11T13:00:39.87-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2012-12-11T13:00:40.853-05:00,5,7,CreditCard,RecurringGiftPayment
3404,250,2012-12-19T15:33:23.463-05:00,5,1,Cash,Donation
3404,1000,2012-12-21T12:10:30.367-05:00,5,1,Cash,Donation
3733,50,2012-12-27T15:37:46.11-05:00,5,7,Cash,Donation
1237,250,2012-12-27T15:41:54.783-05:00,5,1,Cash,Donation
15539,40,2013-01-02T18:18:20.487-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-01-11T10:38:03.26-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-01-11T10:38:04.293-05:00,5,7,CreditCard,RecurringGiftPayment
15539,40,2013-02-04T09:34:41.04-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-02-11T09:57:01.27-05:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-02-11T09:57:02.177-05:00,5,7,CreditCard,RecurringGiftPayment
15539,40,2013-03-04T10:30:25.46-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-03-11T08:53:53.54-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-03-11T08:53:54.587-04:00,5,7,CreditCard,RecurringGiftPayment
3404,1000,2013-03-25T18:16:25.687-04:00,,78,Cash,Donation
15539,175,2013-04-03T10:39:40.563-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-04-11T15:44:15.49-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-04-11T15:44:16.51-04:00,5,7,CreditCard,RecurringGiftPayment
1237,100,2013-04-18T15:04:11.38-04:00,5,14,Cash,Donation
15539,175,2013-05-02T10:27:12.697-04:00,,88,CreditCard,RecurringGiftPayment
15539,30,2013-05-02T10:27:14.01-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-05-13T15:16:19.243-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-05-13T15:16:20.453-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2013-06-03T12:06:27.457-04:00,,88,CreditCard,RecurringGiftPayment
119,500,2013-06-06T09:39:42.49-04:00,5,12,Cash,Donation
6263,75,2013-06-06T10:16:01.103-04:00,5,12,Cash,Donation
119,41.67,2013-06-13T15:53:05.043-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-06-13T15:53:05.49-04:00,5,7,CreditCard,RecurringGiftPayment
119,41.67,2013-07-11T14:13:24.323-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-07-11T14:13:25.793-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2013-08-02T18:58:52.477-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-08-13T13:16:28.92-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-08-13T13:16:30.19-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2013-09-03T13:21:55.987-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-09-11T10:05:39.537-04:00,5,1,CreditCard,RecurringGiftPayment
53,20.83,2013-09-11T10:05:40.537-04:00,5,7,CreditCard,RecurringGiftPayment
15539,175,2013-10-02T13:40:44.62-04:00,,88,CreditCard,RecurringGiftPayment
15539,175,2013-10-04T10:46:56.613-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-10-11T09:06:04.067-04:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2013-11-05T14:52:25.9-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-11-11T14:29:06.573-05:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2013-12-03T11:46:16.407-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2013-12-12T09:50:46.27-05:00,5,1,CreditCard,RecurringGiftPayment
3404,500,2013-12-13T13:06:15.777-05:00,5,1,Cash,Donation
1237,200,2013-12-31T12:10:03.307-05:00,5,1,Cash,Donation
15539,40,2014-01-06T14:54:24.12-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-01-16T10:04:42.11-05:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2014-02-03T14:11:49.037-05:00,,88,CreditCard,Donation
119,41.67,2014-02-11T15:52:11.343-05:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2014-03-04T11:38:33.42-05:00,,88,CreditCard,RecurringGiftPayment
3404,500,2014-03-06T20:54:41.177-05:00,,78,Cash,Donation
119,41.67,2014-03-11T15:19:29.313-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2014-04-02T14:33:31.75-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-04-11T17:33:58.64-04:00,5,1,CreditCard,RecurringGiftPayment
15539,30,2014-04-24T11:09:36.77-04:00,,88,CreditCard,RecurringGiftPayment
15539,175,2014-05-05T18:38:13.05-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-05-16T09:50:04.173-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2014-06-03T09:00:32.413-04:00,,88,CreditCard,RecurringGiftPayment
119,500,2014-06-10T14:04:41.97-04:00,5,12,Cash,Donation
271,75,2014-06-10T14:34:04.407-04:00,5,12,Cash,Donation
1237,150,2014-06-10T14:36:29.873-04:00,5,12,Cash,Donation
3404,75,2014-06-10T14:45:44.01-04:00,5,12,Cash,Donation
3795,150,2014-06-10T14:50:00.617-04:00,5,12,Cash,Donation
119,41.67,2014-06-11T16:07:47.997-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2014-07-03T13:11:37.48-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-07-11T09:38:58.377-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2014-08-04T11:50:35.44-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-08-11T15:36:13.937-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2014-09-02T11:16:08.18-04:00,,88,CreditCard,RecurringGiftPayment
119,1500,2014-09-09T16:53:57.32-04:00,5,7,Cash,Donation
119,41.67,2014-09-11T09:16:05.46-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2014-10-02T10:08:33.39-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-10-14T12:23:24.787-04:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2014-11-03T10:16:35.657-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-11-11T10:15:44.993-05:00,5,1,CreditCard,RecurringGiftPayment
11833,174.02,2014-11-21T14:20:39.13-05:00,5,1,Cash,GiftInKind
15539,40,2014-12-03T08:40:53.03-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2014-12-11T14:52:39.81-05:00,5,1,CreditCard,RecurringGiftPayment
271,25,2014-12-23T14:05:12.857-05:00,5,1,Cash,Donation
15539,40,2015-01-05T12:16:00.63-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2015-01-12T12:12:07.467-05:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2015-02-02T13:09:57.64-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2015-02-11T10:02:03.78-05:00,5,1,CreditCard,RecurringGiftPayment
15539,40,2015-03-02T12:50:46.273-05:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2015-03-11T10:39:37.62-04:00,5,1,CreditCard,RecurringGiftPayment
15539,205,2015-04-03T08:45:14.08-04:00,,88,CreditCard,RecurringGiftPayment
3404,500,2015-04-09T09:54:45.807-04:00,,78,Cash,Donation
119,41.67,2015-04-13T11:59:11.25-04:00,5,1,CreditCard,RecurringGiftPayment
11833,50,2015-04-27T16:05:54.34-04:00,,78,Cash,Donation
15539,175,2015-05-04T09:38:18.85-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2015-05-11T16:37:22.797-04:00,5,1,CreditCard,RecurringGiftPayment
15539,175,2015-06-05T15:40:35.34-04:00,,88,CreditCard,RecurringGiftPayment
119,41.67,2015-06-11T08:54:23.823-04:00,5,1,CreditCard,RecurringGiftPayment
