constituent_id,contact_id,amount,payment_date
6245,71694,20,2006-02-09
2167,72966,20,2006-02-09
2984,72715,50,2006-02-09
12599,74163,500,2006-02-09
12458,73405,100,2006-02-09
5452,85456,25,2006-03-06
12023,86445,25,2006-03-06
4612,85888,10,2006-03-07
11898,86381,25,2006-03-07
8680,85013,325,2006-03-07
6709,72378,50,2006-03-07
1609,86654,1000,2006-03-20
10900,83165,250,2006-04-06
7386,70700,200,2006-04-06
11693,83750,20,2006-04-06
12472,86378,50,2006-04-06
5447,83111,1000,2006-04-06
223,73368,500,2006-04-06
10902,86053,50,2006-04-06
3891,73840,200,2006-04-06
11795,82587,50,2006-04-06
5828,83481,150,2006-05-15
7090,85000,250,2006-05-15
2063,70366,1500,2006-05-15
11791,73890,100,2006-05-15
3262,82590,350,2006-05-15
7897,85384,123.12,2006-05-16
6074,84222,500,2006-06-13
12643,85364,40,2006-06-13
12644,72188,2500,2006-06-13
3672,85782,800,2006-06-13
3650,85740,1500,2006-06-13
12645,85788,500,2006-06-13
2388,70572,2500,2006-06-13
5633,84608,200,2006-06-13
2993,83700,500,2006-06-13
3270,82601,350,2006-06-13
12647,84049,500,2006-06-13
1609,86654,201.08,2006-06-19
12648,84460,65,2006-06-19
5932,84887,25,2006-06-28
5932,84887,25,2006-07-19
5932,84887,25,2006-07-19
2993,83700,100,2006-07-19
2993,83700,100,2006-07-19
3278,82615,1050,2006-07-19
2993,83700,100,2006-07-19
12495,82605,350,2006-07-19
6289,72231,500,2006-07-19
1099,83865,25,2006-07-19
115,72236,100,2006-07-19
1013,82864,50,2006-07-19
8568,72757,35,2006-07-19
11981,70372,250,2006-07-19
12056,73399,500,2006-07-19
9333,73243,1500,2006-07-19
3662,85760,250,2006-07-19
7964,83411,100,2006-07-19
12654,83058,50,2006-07-19
12662,72427,30,2006-07-19
12665,84005,25,2006-07-20
993,85312,50,2006-07-20
2384,74131,400,2006-07-20
7090,85000,200,2006-07-20
46372,74159,100,2006-07-20
10235,73344,100,2006-07-20
11824,72253,15,2006-07-20
5353,84580,50,2006-07-20
2503,85012,50,2006-07-20
11975,70558,200,2006-07-20
11009,84814,25,2006-07-20
3313,82796,50,2006-07-20
10948,73359,50,2006-07-20
2175,73198,150,2006-07-20
11119,85632,200,2006-07-20
12670,72603,100,2006-07-20
1027,83106,150,2006-07-20
11946,73510,50,2006-07-20
213,73157,100,2006-07-20
3793,86408,25,2006-08-08
8514,85077,100,2006-08-08
8348,74286,25,2006-08-08
12568,85935,50,2006-08-08
10239,71571,1200,2006-08-08
8436,86661,60,2006-10-10
12170,83934,100,2006-10-11
3048,85014,350,2006-10-11
3579,83962,100,2006-10-11
7979,84398,50,2006-10-11
2166,72965,100,2006-10-11
207,73114,50,2006-10-11
2085,82737,50,2006-10-11
12570,71770,50,2006-11-02
7388,74185,250,2006-11-08
12167,73689,17.07,2006-11-08
12592,85756,750,2006-11-08
3651,85742,1000,2006-11-08
2388,70572,500,2006-11-08
5640,85263,1000,2006-11-29
3579,83962,100,2006-11-29
6738,73271,50,2006-11-29
2384,74131,105,2006-11-29
7448,85435,500,2006-11-29
8680,85013,2000,2006-11-29
7236,73705,100,2006-11-29
7897,85384,1000,2006-11-29
2101,71458,50,2006-11-29
12430,85792,500,2006-11-29
12418,70204,500,2006-11-29
6446,85761,500,2006-11-29
6075,85686,1000,2006-11-29
3674,85787,500,2006-11-29
6445,85734,1000,2006-11-29
12056,73399,500,2006-11-29
12047,73403,1000,2006-11-29
12518,85432,5000,2006-11-29
12148,70550,2500,2006-11-29
6245,71694,25,2007-01-03
12686,86690,30,2007-01-03
2107,71656,5,2007-01-03
3579,83962,100,2007-01-03
1609,86654,100,2007-01-03
129,72392,500,2007-01-03
1113,84066,25,2007-01-03
12429,71537,758,2007-01-03
9420,85385,160,2007-01-03
3343,70940,10000,2007-01-03
12504,86089,500,2007-01-03
5431,70513,80,2007-01-03
12719,85710,20,2007-01-03
12722,73974,1500,2007-01-03
5194,73970,1000,2007-01-03
9333,73243,1000,2007-01-03
3662,85760,160,2007-01-03
5216,86280,500,2007-01-03
12416,73884,500,2007-01-03
12723,83291,160,2007-01-03
67,71286,3500,2007-02-12
8680,85013,325,2007-03-06
11898,86381,25,2007-03-06
4612,85888,10,2007-03-06
1235,85237,20,2007-03-06
11871,73412,50,2007-03-06
12023,86445,50,2007-03-06
12523,86726,25,2007-03-06
5452,85456,25,2007-03-06
12714,70449,9689.94,2007-03-06
207,73114,100,2007-03-06
3303,82691,100,2007-03-06
46109,73272,100,2007-03-06
12542,73398,100,2007-03-06
8111,74158,500,2007-03-06
6202,70670,25,2007-03-06
12575,83183,10,2007-03-06
6289,72231,100,2007-03-06
2206,73956,100,2007-03-06
6245,71694,20,2007-05-15
3262,82590,300,2007-05-15
11795,82587,50,2007-05-15
6289,72231,225,2007-05-15
12714,70449,19256.93,2007-05-15
4640,84138,1000,2007-05-15
2141,72358,250,2007-05-15
7386,70700,200,2007-05-15
5447,83111,1000,2007-05-15
8680,85013,1000,2007-05-15
5633,84608,200,2007-05-15
2984,72715,25,2007-05-15
12472,86378,25,2007-05-16
10603,84727,50,2007-06-19
8000,84521,100,2007-06-19
3579,83962,100,2007-06-19
12746,73871,1000,2007-06-19
6154,70775,500,2007-06-19
12748,72588,10000,2007-06-19
12752,83279,300,2007-06-19
3278,82615,300,2007-06-19
5932,84887,25,2007-07-11
5932,84887,25,2007-07-11
2993,83700,100,2007-07-11
2993,83700,100,2007-07-11
1129,84136,50,2007-07-11
2085,82737,50,2007-07-11
12648,84460,500,2007-07-16
12756,70316,20,2007-07-17
46372,74159,100,2007-07-17
