db_id,contact_id,amount,payment_date,campaign_id,category_id,payment_method,notes
164965,71694,20.00,2006-02-09,1082,77,Cash,Donation | Imported from RE | constituentId: 6245
164966,72966,20.00,2006-02-09,1082,77,Cash,Donation | Imported from RE | constituentId: 2167
164967,72715,50.00,2006-02-09,1082,85,Cash,Donation | Imported from RE | constituentId: 2984
164968,74163,500.00,2006-02-09,1082,87,Cash,Donation | Imported from RE | constituentId: 12599
164969,73405,100.00,2006-02-09,1082,89,Cash,Donation | Imported from RE | constituentId: 12458
164970,85456,25.00,2006-03-06,1082,74,Cash,Donation | Imported from RE | constituentId: 5452
164971,86445,25.00,2006-03-06,1082,77,Cash,Donation | Imported from RE | constituentId: 12023
164972,85888,10.00,2006-03-07,1082,77,Cash,Donation | Imported from RE | constituentId: 4612
164973,86381,25.00,2006-03-07,1082,77,Cash,Donation | Imported from RE | constituentId: 11898
164974,85013,325.00,2006-03-07,1082,77,Cash,Donation | Imported from RE | constituentId: 8680
164975,72378,50.00,2006-03-07,1082,77,Cash,Donation | Imported from RE | constituentId: 6709
164976,86654,1000.00,2006-03-20,1082,80,Cash,Donation | Imported from RE | constituentId: 1609
164977,83165,250.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 10900
164978,70700,200.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 7386
164979,83750,20.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 11693
164980,86378,50.00,2006-04-06,1082,80,Cash,Donation | Imported from RE | constituentId: 12472
164981,83111,1000.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 5447
164982,73368,500.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 223
164983,86053,50.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 10902
164984,73840,200.00,2006-04-06,1082,89,Cash,Donation | Imported from RE | constituentId: 3891
164985,82587,50.00,2006-04-06,1082,109,Cash,Donation | Imported from RE | constituentId: 11795
164986,83481,150.00,2006-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 5828
164987,85000,250.00,2006-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 7090
164988,70366,1500.00,2006-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 2063
164989,73890,100.00,2006-05-15,1082,89,Cash,Donation | Imported from RE | constituentId: 11791
164990,82590,350.00,2006-05-15,1082,109,Cash,Donation | Imported from RE | constituentId: 3262
164991,85384,123.12,2006-05-16,1082,74,Cash,GiftInKind | Imported from RE | constituentId: 7897
164992,84222,500.00,2006-06-13,1082,133,Cash,Donation | Imported from RE | constituentId: 6074
164993,85364,40.00,2006-06-13,1082,80,BusinessCheck,Donation | Imported from RE | constituentId: 12643
164994,72188,2500.00,2006-06-13,,133,Cash,Donation | Imported from RE | constituentId: 12644
164995,85782,800.00,2006-06-13,,133,Cash,Donation | Imported from RE | constituentId: 3672
164996,85740,1500.00,2006-06-13,,133,Cash,Donation | Imported from RE | constituentId: 3650
164997,85788,500.00,2006-06-13,,133,Cash,Donation | Imported from RE | constituentId: 12645
164998,70572,2500.00,2006-06-13,,133,Cash,Donation | Imported from RE | constituentId: 2388
164999,84608,200.00,2006-06-13,1082,89,Cash,Donation | Imported from RE | constituentId: 5633
165000,83700,500.00,2006-06-13,1083,97,Cash,Donation | Imported from RE | constituentId: 2993
165001,82601,350.00,2006-06-13,1082,109,Cash,Donation | Imported from RE | constituentId: 3270
165002,84049,500.00,2006-06-13,,133,Cash,Donation | Imported from RE | constituentId: 12647
165003,86654,201.08,2006-06-19,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 1609
165004,84460,65.00,2006-06-19,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 12648
165005,84887,25.00,2006-06-28,1082,80,Cash,GiftInKind | Imported from RE | constituentId: 5932
165006,84887,25.00,2006-07-19,1082,76,Cash,Donation | Imported from RE | constituentId: 5932
165007,83700,100.00,2006-07-19,1082,76,Cash,Donation | Imported from RE | constituentId: 2993
165008,82615,1050.00,2006-07-19,1082,109,Cash,Donation | Imported from RE | constituentId: 3278
165009,82605,350.00,2006-07-19,1082,109,Cash,Donation | Imported from RE | constituentId: 12495
165010,72231,500.00,2006-07-19,1082,80,Cash,Donation | Imported from RE | constituentId: 6289
165011,83865,25.00,2006-07-19,1082,80,Cash,Donation | Imported from RE | constituentId: 1099
165012,72236,100.00,2006-07-19,1082,80,Cash,Donation | Imported from RE | constituentId: 115
165013,82864,50.00,2006-07-19,1082,80,Cash,Donation | Imported from RE | constituentId: 1013
165014,72757,35.00,2006-07-19,1085,80,Cash,Donation | Imported from RE | constituentId: 8568
165015,70372,250.00,2006-07-19,,133,Cash,Donation | Imported from RE | constituentId: 11981
165016,73399,500.00,2006-07-19,,133,Cash,Donation | Imported from RE | constituentId: 12056
165017,73243,1500.00,2006-07-19,,133,Cash,Donation | Imported from RE | constituentId: 9333
165018,85760,250.00,2006-07-19,,133,Cash,Donation | Imported from RE | constituentId: 3662
165019,83411,100.00,2006-07-19,1083,91,Cash,Donation | Imported from RE | constituentId: 7964
165020,83058,50.00,2006-07-19,1083,91,Cash,Donation | Imported from RE | constituentId: 12654
165021,72427,30.00,2006-07-19,1083,91,Cash,Donation | Imported from RE | constituentId: 12662
165022,84005,25.00,2006-07-20,1083,91,Cash,Donation | Imported from RE | constituentId: 12665
165023,85312,50.00,2006-07-20,1083,91,Cash,Donation | Imported from RE | constituentId: 993
165024,74131,400.00,2006-07-20,1083,108,Cash,Donation | Imported from RE | constituentId: 2384
165025,85000,200.00,2006-07-20,,114,Cash,Donation | Imported from RE | constituentId: 7090
165026,74159,100.00,2006-07-20,1083,80,Cash,Donation | Imported from RE | constituentId: 46372
165027,73344,100.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 10235
165028,72253,15.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 11824
165029,84580,50.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 5353
165030,85012,50.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 2503
165031,70558,200.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 11975
165032,84814,25.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 11009
165033,82796,50.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 3313
165034,73359,50.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 10948
165035,73198,150.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 2175
165036,85632,200.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 11119
165037,72603,100.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 12670
165038,83106,150.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 1027
165039,73510,50.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 11946
165040,73157,100.00,2006-07-20,1082,85,Cash,Donation | Imported from RE | constituentId: 213
165041,86408,25.00,2006-08-08,1082,80,Cash,Donation | Imported from RE | constituentId: 3793
165042,85077,100.00,2006-08-08,1082,85,Cash,Donation | Imported from RE | constituentId: 8514
165043,74286,25.00,2006-08-08,1082,85,Cash,Donation | Imported from RE | constituentId: 8348
165044,85935,50.00,2006-08-08,1082,85,Cash,Donation | Imported from RE | constituentId: 12568
165045,71571,1200.00,2006-08-08,1082,108,Cash,Donation | Imported from RE | constituentId: 10239
165046,86661,60.00,2006-10-10,1082,79,Cash,GiftInKind | Imported from RE | constituentId: 8436
165047,83934,100.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 12170
165048,85014,350.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 3048
165049,83962,100.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 3579
165050,84398,50.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 7979
165051,72965,100.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 2166
165052,73114,50.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 207
165053,82737,50.00,2006-10-11,1082,85,Cash,Donation | Imported from RE | constituentId: 2085
165054,71770,50.00,2006-11-02,1082,77,Cash,Donation | Imported from RE | constituentId: 12570
165055,74185,250.00,2006-11-08,1082,89,Cash,Donation | Imported from RE | constituentId: 7388
165056,73689,17.07,2006-11-08,1083,97,Cash,Donation | Imported from RE | constituentId: 12167
165057,85756,750.00,2006-11-08,,132,Cash,Donation | Imported from RE | constituentId: 12592
165058,85742,1000.00,2006-11-08,,132,Cash,Donation | Imported from RE | constituentId: 3651
165059,70572,500.00,2006-11-08,,132,Cash,Donation | Imported from RE | constituentId: 2388
165060,85263,1000.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 5640
165061,83962,100.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 3579
165062,73271,50.00,2006-11-29,1082,89,Cash,Donation | Imported from RE | constituentId: 6738
